상권_코드,resident_pop_2024,floating_pop_2024,estimated_sales_2024,resident_pop_2024_high25,resident_pop_2024_high10,floating_pop_2024_high25,floating_pop_2024_high10,estimated_sales_2024_high25,estimated_sales_2024_high10,is_active_25,is_active_10,log_resident_pop_2024,z_resident_pop_2024,log_floating_pop_2024,z_floating_pop_2024,log_estimated_sales_2024,z_estimated_sales_2024,score,상권_코드_명,시군구명,행정동명,lat,lon
3110043,48300,21316507,11740160629,False,False,False,False,False,False,False,False,10.785207543360087,0.3676099606782467,16.874992353978225,0.4248287132936266,23.18628133353555,-0.1228460694798791,0.2231975348306647,충무초등학교,중구,장충동,37.560559781946495,127.00102167506041
3110044,5088,4456987,2339257532,False,False,False,False,False,False,False,False,8.534836626588833,-1.172211666428214,15.30998375953108,-0.9366409118228308,21.573099422378014,-0.9557013765766716,-1.0215179849425722,관성묘,중구,장충동,37.561214078430424,127.00333176982339
3110045,20268,15051300,27476896006,False,False,False,False,False,False,False,False,9.916847904237963,-0.2265671780598649,16.526974990605712,0.1220731431798578,24.036611343299164,0.3161632304118613,0.070556398510618,동대문역사문화공원역 5번,중구,장충동,37.56238374955989,127.00491361864931
3110047,58996,14332377,1307139992,False,False,False,False,False,False,False,False,10.985241874137454,0.5044839250541675,16.47803173160565,0.0794952552888771,20.991107376028587,-1.2561728616198178,-0.224064560425591,다산성곽길,중구,다산동,37.55500269789758,127.00722804514227
3110048,54398,22054056,16797011437,False,False,False,False,False,False,False,False,10.904101050322137,0.4489631242737671,16.90900713386258,0.4544196623669329,23.544466816935977,0.0620783204551749,0.3218203690319583,장충동주민센터,중구,장충동,37.56099845410092,127.00848112662523
3110049,43496,18624850,21663313709,False,False,False,False,False,False,False,False,10.680447249181304,0.295927481387246,16.740007322197897,0.3073993130549539,23.798886054352483,0.193430160346444,0.2655856515962146,장충단 고개,중구,다산동,37.55752424600963,127.01015944416577
3110050,16706,10279305,5718918443,False,False,False,False,False,False,False,False,9.723583072257778,-0.3588090968583731,16.145643305984784,-0.209664016314327,22.46704554124285,-0.4941739045627305,-0.3542156725784768,약수역 7번,중구,약수동,37.55218445313929,127.01089702162619
3110051,26612,22040897,10353164181,False,False,False,False,False,False,False,False,10.189155097188696,-0.040240336650188,16.908410285520603,0.4539004378136064,23.060558028003175,-0.187754634046698,0.0753018223722401,한양공고앞 교차로,중구,신당동,37.56371954869775,127.0112808652437
3110052,38196,15547390,46238625034,False,False,False,False,False,False,False,False,10.550512257479294,0.2070191557198864,16.559403401162168,0.1502840399890329,24.55708132546618,0.5848720374188349,0.3140584110425847,장충초등학교,중구,다산동,37.55961076458959,127.01172339475012
3110053,56228,26999669,12825798393,False,False,False,False,False,False,False,False,10.937187917027094,0.4716028911432141,17.11133520167169,0.6304337236366189,23.27472447900908,-0.0771845463903317,0.3416173561298337,청구역 1번,중구,신당동,37.56191495152436,127.01265781387436
