상권_코드,resident_pop_2024,floating_pop_2024,estimated_sales_2024,resident_pop_2024_high25,resident_pop_2024_high10,resident_pop_2024_high50,floating_pop_2024_high25,floating_pop_2024_high10,floating_pop_2024_high50,estimated_sales_2024_high25,estimated_sales_2024_high10,estimated_sales_2024_high50,is_active_25,is_active_10,is_active_50,상권_코드_명
3110099,38960,7466547,3902172368,False,False,True,False,False,False,False,False,False,False,False,False,유엔빌리지길
3110101,14744,4248367,37975721,False,False,False,False,False,False,False,False,False,False,False,False,옥정중학교
3110102,18240,13530258,16016811398,False,False,False,False,False,False,False,False,False,False,False,False,옥수역 6번
3110103,9234,7230101,292477462,False,False,False,False,False,False,False,False,False,False,False,False,옥수터널
3110104,64050,28801575,5886820431,False,False,True,False,False,True,False,False,False,False,False,False,신금호역 4번
3110105,63130,21699134,6771013624,False,False,True,False,False,True,False,False,False,False,False,False,금동어린이공원
3110106,20532,9195888,4416170147,False,False,False,False,False,False,False,False,False,False,False,False,금북초등학교
3110107,6442,2983268,8464357507,False,False,False,False,False,False,False,False,False,False,False,False,금호사거리
3110108,66,2608752,1144868769,False,False,False,False,False,False,False,False,False,False,False,False,성동구립금호도서관
3110109,9970,9111159,9609014582,False,False,False,False,False,False,False,False,False,False,False,False,금호삼성래미안아파트
3110110,43948,25278081,5232132088,False,False,True,False,False,True,False,False,False,False,False,False,상왕십리역 6번
3110112,59290,20538955,19293475478,False,False,True,False,False,True,False,False,True,False,False,True,행당역 2번
3110113,32068,4524610,1043239374,False,False,False,False,False,False,False,False,False,False,False,False,응봉산
3110114,17426,9512825,4898588289,False,False,False,False,False,False,False,False,False,False,False,False,왕십리파출소
3110115,44228,20564161,21731776052,False,False,True,False,False,True,False,False,True,False,False,True,상왕십리역 3번
3110116,43162,16772027,1325786071,False,False,True,False,False,True,False,False,False,False,False,False,청계천박물관
3110117,34594,14608743,3626364029,False,False,False,False,False,False,False,False,False,False,False,False,성동구보건소
3110118,25826,27236073,31565621919,False,False,False,False,False,True,False,False,True,False,False,False,왕십리역 9번
3110120,19276,12686460,2077573469,False,False,False,False,False,False,False,False,False,False,False,False,서울숲카페거리
3110121,19852,4609420,1869979378,False,False,False,False,False,False,False,False,False,False,False,False,한양대역 4번
3110122,17612,8247067,32370822643,False,False,False,False,False,False,False,False,True,False,False,False,마장역 2번
3110123,60304,21525049,10909766000,False,False,True,False,False,True,False,False,False,False,False,False,마장역 3번
