상권_코드,resident_pop_2024,floating_pop_2024,estimated_sales_2024
3110740,117264,37031690,12059635838
3110741,81764,12123752,23854525624
3110742,4622,1977022,11301781449
3110743,95260,21961953,15638723377
3110744,181642,47356585,33891079240
3110745,63878,13294527,25442224730
3110746,37374,6904580,9640112044
3110747,21810,4005430,8863887412
3110748,41920,11082196,15387362568
3110749,106228,14925436,29306109806
3110750,102182,20990057,19692753782
3110751,122782,27030279,5564623828
3110752,140122,22015426,35304459145
3110753,154250,26627040,42708627685
3110754,112014,31710240,22280405007
3110755,31238,6989288,18096837405
3110756,57044,6238515,3648313010
3110757,44072,5393060,55270096210
3110758,30770,7994405,3136923371
3110759,27322,89510599,303157769752
3110760,25070,18044257,33600226480
3110762,241698,43201339,97053388498
3110763,27166,12760317,20267043440
3110764,3022,1328786,2430494488
3110765,2656,7596114,5066748869
3110766,53100,29540422,15021786423
3110767,18342,6004163,626646096
3110768,28982,5800147,975388597
3110769,16010,12754238,6337403071
3110770,41184,22617421,8789157085
3110771,14726,9217926,172816704
3110772,27258,8757934,60608994674
3110773,3180,2157498,254716594
3110774,28744,13131076,7810327438
3110775,16692,5624744,7876152729
3110776,73532,21413168,59505603987
3110777,2890,7305975,432761267
3110778,90472,32930585,41354939824
3110779,6554,4119988,463705920
3110780,72834,9123459,11338654189
3110781,74088,31037858,7116615259
3110782,16084,6406607,5412197924
3110783,16668,8887982,8252602193
3110784,22172,4544203,1035220103
3110785,75354,29510261,14457570249
3110786,47616,11335890,3350957438
3110787,70492,43318826,24822988687
3110788,6220,2216971,96912404912
3110789,37202,14489128,69750617302
3110790,72086,19398631,13563758621
3110791,4928,2592171,7586007732
3110792,85958,55154537,22321527909
3110793,66,776854,1709533709
3110794,74732,20834845,10661681099
3110795,42484,28917261,945719178
3110796,26730,2847492,3939008366
3110797,4776,7006578,6572729278
3110798,12638,3678855,1819585799
3110799,14076,5182485,411554163
3110800,18462,3835663,1215521591
3110802,28966,13682330,2852472421
3110803,59568,33649182,11444516951
3110804,47686,24428932,31876342974
3110805,15654,7573270,2143886425
3110807,45098,11581778,1241609966
3110808,14250,12059065,45223240
3110809,15942,11626225,11880014295
3110810,74524,39815326,61570724774
3110811,36986,11997252,5725802728
3110812,31478,15279374,33483770900
3110813,52836,31336164,16968616694
3110814,76702,32072722,15507012902
3110815,107602,36616777,50074784934
3110816,39906,18414517,4245402746
3110817,17952,8584795,3003340174
3110818,17556,5655970,1710040288
3110819,113874,24082931,43104473172
3110820,89400,22237354,20973178050
3110821,135064,35538332,9055501791
3110822,110762,17419478,1625387652
3110823,76424,19248661,3667871220
3110824,13208,6371932,30121154890
3110825,196336,52201397,5925319534
3110826,94802,18788119,29741796215
3110827,52506,14728970,19622818859
3110828,150724,44274325,14900421095
3110829,58502,21486039,641367110
3110830,90980,18428899,6970784042
3110831,58578,13733706,8576186933
3110832,71568,14762067,6508167137
3110833,49600,13569849,5856507269
3110834,25820,4049876,544084707
3110835,26130,4488375,4896683204
3110836,199572,45248948,101945580484
3110837,92608,45174688,47016631488
3110838,2348,3418827,3734268408
3110839,43326,19690211,23857526804
3110840,49518,26253315,49185732538
3110842,11542,4916514,23310137958
3110843,36922,13606674,4581475631
3110845,36070,10764042,1075624944
3110846,195096,71840440,41426561178
3110847,98896,20139551,5570273799
3110848,106090,34800821,12736972391
3110849,72606,44643477,7004932342
3110850,180802,67412433,77971043485
3110851,86964,28028314,2582189428
3110852,40788,16172477,12382006082
3110853,51050,39108803,12737231693
3110854,47674,8891005,3674185636
3110855,100266,36296754,51129701107
3110856,91982,22575825,36887223272
3110857,107932,28862130,10215351037
3110858,18382,12964766,8355533872
3110859,64076,12290077,4780481228
3110860,52306,11984512,9549002458
3110861,156756,48641494,69248897062
3110862,51664,16076324,9176110942
3110863,88110,25128839,19871617034
3110864,110504,40609657,8587073101
3110865,193748,56005113,72089564582
3110866,107608,28279485,8785505305
3110867,77722,30105471,7640920732
3110868,67596,22646961,6098469275
3110869,244902,105099339,45310688385
3110870,45558,9951898,125995119
3110871,48312,18626947,25104914115
3110872,58130,20453543,2040720342
3110873,103214,21875796,29979761264
3110874,62286,50277198,941477389
3110875,68044,4626193,3580197392
3110876,59494,12923620,3113248809
3110877,77936,31804966,39231151570
3110878,39792,16212990,1698414424
3110879,34604,8423400,5705811618
3110880,31468,11892004,11086322078
3110881,223788,106110084,53358509035
3110882,114044,41659795,19577141712
3110883,102550,32452909,31076228866
3110884,27974,19407720,10389245147
3110885,147800,37876954,14970076655
3110886,76452,28345235,7058041532
3110887,41674,12823098,81880115
3110888,29680,18930318,8792541887
3110889,50732,11330987,1175950447
3110890,70186,19498241,4914568848
3110891,17640,5277612,5333621257
3110892,258636,118059948,73395076849
3110893,6224,2131606,2464971031
3110895,190738,93750075,84997579544
3110896,5286,4743595,8502604097
3110897,116788,42504042,8033315878
3110898,53880,13569396,112519785
3110899,68716,21250899,594477378
3110900,140146,41457791,16383821319
3110901,108072,30618268,6917756900
3110902,211356,68670342,61913942998
