상권_코드,resident_pop_2024,floating_pop_2024,estimated_sales_2024,resident_pop_2024_high25,floating_pop_2024_high25,estimated_sales_2024_high25
3110020,87008,46994325,12248151978,True,True,False
3110740,117264,37031690,12059635838,True,True,False
3110236,175906,48581485,11424835600,True,True,False
3110157,125786,32091666,11269714784,True,True,False
3110551,88438,33463007,11208485115,True,True,False
3110138,75536,29578150,10405150772,True,True,False
3110261,107656,39265166,9966715769,True,True,False
3111075,94982,37187069,9836618172,True,True,False
3111066,120324,35690086,9818825956,True,True,False
3110176,133378,34292717,9690761555,True,True,False
3110365,105288,44797480,9501114041,True,True,False
3110263,157580,42630667,9491076345,True,True,False
3110348,86764,50062263,9452150141,True,True,False
3110266,117596,40835303,9412153227,True,True,False
3110359,140942,30911157,9319778289,True,True,False
3111063,133598,38160519,9290970187,True,True,False
3110080,89762,42582644,9159497807,True,True,False
3110301,75744,36395966,9108479600,True,True,False
3110821,135064,35538332,9055501791,True,True,False
3110206,82086,36855635,9031211819,True,True,False
3110170,137088,62228019,9019834205,True,True,False
3110864,110504,40609657,8587073101,True,True,False
3110426,88692,41722615,8504192177,True,True,False
3110374,123962,65549893,8482563751,True,True,False
3110454,130782,29920084,8368072660,True,True,False
3110618,137534,39295807,8207302825,True,True,False
3110675,168032,42189980,8187395405,True,True,False
3110897,116788,42504042,8033315878,True,True,False
3120176,107842,46691104,7946871160,True,True,False
3110867,77722,30105471,7640920732,True,True,False
3110670,165668,36187808,7396062947,True,True,False
3110901,108072,30618268,6917756900,True,True,False
3110289,114424,32655367,6235103922,True,True,False
3110035,76536,36284049,5942334576,True,True,False
3110825,196336,52201397,5925319534,True,True,False
3110061,84694,33653554,5536730037,True,True,False
3110611,102022,30981803,5460170221,True,True,False
3110608,193056,34661024,5093136082,True,True,False
3110929,95548,34108733,4989233779,True,True,False
3110175,107194,32204763,4715235542,True,True,False
3110626,139238,33952265,4264611089,True,True,False
3110368,79500,64612943,3477777499,True,True,False
3110433,94756,35330620,3284115551,True,True,False
3111069,111802,62381010,2677542083,True,True,False
3110499,133678,53970041,2499260161,True,True,False
3110257,90658,46311346,2036581256,True,True,False
